term	possessed_short	possessed_long	gloss_ja	source
acautari		acautarihi		
aep	aepi		食	田村1996
aep	epi	epihi	食	田村1996
ak	aki	akihi	弟	田村1996
am	ami	amihi	爪	田村1996
amip	mipi	mipihi	服	田村1996
amunin	amunini	amuninihi	腕	田村1996
ancikar	ancikari	ancikarihi	夜	田村1996
antehoku		antehokuhu		
antemaci		antemacihi		
aoypep	oypepi	oypepihi	食器	田村1996
aremko		aremkoho		田村1996
arkewtumu		arkewtumuhu		
arsoke		arsokehe		
asam	asama	asamaha	底	田村1996
askekursut	askekursutu	askekursutuhu	指の付け根	田村1996
askepet	askepeci	askepecihi	指	田村1996
asur	asuru	asuruhu	噂	田村1996
at	atu	atuhu	紐	田村1996
atay	ataye	atayehe	値打ち	田村1996
atkoci	atkocike		尾びれ	田村1996
atpa	atpake	atpakehe	始め	田村1996
atupok	atupoki	atupokihi	脇の下	
ay	aye	ayehe	矢	田村1996
car	caro	caroho	口	
cikas	cikasi	cikasihi	心張り棒	
cikir	cikiri	cikirihi	足	田村1996
cinkotoro		cinkotoroho		
cipuy	cipuye	cipuyehe	陰茎の穴・女性器の陰門	田村1996
ciw	ciwe	ciwehe	流れ	田村1996
ciyay	ciyaye	ciyayehe	栓	田村1996
ciye		ciyehe		
corpok	corpokike	corpokikehe	下	田村1996
corpok	corpokke	corpokkehe	下	田村1996
cup	cupi	cupihi	女の腹	田村1996
cupkes	cupkese	cupkesehe	女の下腹	田村1996
cuporop	cuporopi	cuporopihi		田村1996
eepak	eepaki	eepakihi	次	田村1996
eepak	eepakke	eepakkehe	次	田村1996
ekas	ekasi	ekasihi	祖父	田村1996
enka	enkasi	enkasike	上の方	田村1996
enka	enkasike	enkasikehe	上の方	田村1996
enkip	enkipi	enkipihi	陰部	田村1996
ep	epi	epihi	餌	
epuy	epuyke	epuykehe	実	田村1996
epuykeutari		epuykeutarihi		
etok	etoko	etokoho	先	田村1996
etor	etori	etorihi	鼻糞	田村1996
etu	etu	etuhu	鼻	田村1996
etuikkew	etuikkewe	etuikkewehe	鼻筋	田村1996
etupsik	etupsike		先端	田村1996
etupuy	etupuyke		鼻孔	田村1996
eturus	eturusi	eturusihi	鼻面	田村1996
ham	hamu	hamuhu	葉	田村1996
hankapuy	hankapuye	hankapuyehe	臍	知里1962
hanku	hanku	hankuhu	臍	田村1996
harkisam	harkisama		左側	田村1996
harkitek	harkiteke	harkitekehe	左手	田村1996
haruramat	haruramatu	haruramatuhu	食糧の魂	田村1996
haw	hawe	hawehe	声	田村1996
heserekut	heserekuci	heserekucihi	気管	田村1996
hoku		hokuhu	夫	田村1996
hon	honi	honihi	腹	田村1996
honkes	honkese	honkesehe	下腹	田村1996
hontom	hontomo	hontomoho	途中	田村1996
hum	humi	humihi	音	田村1996
hunakor	hunakoro		何処	田村1996
hurkap	hurkapu	hurkapuhu	動物の死骸	田村1996
ikir	ikiri	ikirihi	集まり	田村1996
ikkew	ikkewe	ikkewehe	腰	田村1996
ikusakanram	ikusakanrami	ikusakanramihi	悪い酒癖	田村1996
ikuynimak	ikuynimaki	ikuynimakihi	奥歯	田村1996
imak	imakake	imakakehe	向こう	田村1996
imak	imaki	imakihi	歯	知里1954
inawsantek	inawsanteke	inawsantekehe	木幣を捧げる子孫	田村1996
inay	inaye	inayehe	尻の割れ目	田村1996
ipe	ipe	ipehe	食	田村1996
iperekut	iperekuci	iperekucihi	食道	田村1996
ipor	iporo	iporoho	顔色	田村1996
irwak	irwaki	irwakihi	兄弟姉妹	田村1996
iway	iwaye	iwayehe	御祝儀	田村1996
ka	ka	kaha	糸	田村1996
ka	kasi	kasihi	上	田村1996
ka	kasike	kasikehe	上	田村1996
ka	kaske	kaskehe	上	田村1996
kam	kami	kamihi	肉	田村1996
kamka	kamkasi	kamkasike	肌	田村1996
kankap	kankapu	kankapuhu	表皮	田村1996
kannanotkew	kannanotkewe	kannanotkewehe	上顎	田村1996
kannapatoy	kannapatoye	kannapatoyehe	上唇	田村1996
kanpar	kanparo	kanparoho	口先	田村1996
kanpasrek	kanpasreki	kanpasrekihi	口ひげ	田村1996
kap	kapu	kapuhu	皮	田村1996
kaparkam	kaparkami	kaparkamihi	肋膜	田村1996
karku	karku	karkuhu	甥	田村1996
kaskamuy	kaskamuye		憑神	田村1996
kat	katu	katuhu	恰好	田村1996
katcam	katcama		気配	田村1996
katuyemimak	katuyemimaki	katuyemimakihi	犬歯	田村1996
kem	kemi	kemihi	血	田村1996
kem	kemi	kemihi	飢饉	田村1996
kema	kema	kemaha	脚	田村1996
kemorit	kemorici	kemoricihi	血管	田村1996
kepuspe	kepuspe	kepuspehe	鞘	萱野1996
ker	keri	kerihi	靴	田村1996
kese		kesehe		
kesup	kesupi	kesupihi	踵	田村1996
kesupasam	kesupasama	kesupasamaha	踵裏	田村1996
kew	kewe	kewehe	体	田村1996
